参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆平等陆家子弟虽然有修为在身，可终究年纪小，修为弱，根本不是对手。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,几个呼吸间而已，就被一一镇压，五花大绑，像阶下囚般屈辱地瘫坐在地。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“韩山鹊，你迟早会遭报应！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆平披头散发，浑身是血，愤怒嘶叫。那些陆家子弟也朝韩山鹊怒目而视，恨不能生啖其肉。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“这可不能怪我。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊蹲在陆平面前，认真解释道，“只有把你们拿下，我才能得到首席长老的信任，才不至于被你们陆家牵累，这可怪不得我，要怪……只能怪你们陆家要完了。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,说着，韩山鹊长身而起，语气淡漠道：“把他们押去地牢！听候发落！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“慢着！戏台子都搭好了，角儿却少了一个，多扫兴啊。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,就见大殿一侧的房门开启，一个手握折扇的玉袍少年大步走了出来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“齐少。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊一怔，旋即连忙迎上去，脸上已堆满笑容。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,玉袍少年名叫齐飞云，是天河郡城四大家族之一齐家的嫡系后裔，身份显赫。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,便是韩山鹊这位天河学府刑律堂执事，也得卖齐家面子！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“齐飞云，你怎会在这里？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆平皱眉，愈发感到不对劲。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,去年的学府冬猎考核中，齐飞云为夺一头猎物，暗箭伤人，被他当众揭穿，从此结仇。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“做什么？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,齐飞云转身，笑眯眯看向陆平，“当然是痛打落水狗！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,说着，他用手中折扇狠狠抽在陆平脸颊。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,啪！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆平面颊淌血，火辣辣的疼，带着强烈的羞辱意味。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“实话告诉你，今天开除你们学籍，只是开胃菜，接下来……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,齐飞云俯身抓住陆平头发，迫使他仰头对视，“呵呵，就等着瞧吧！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆平的心跌入谷底。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,至此，他彻底明白了，韩山鹊的跳反、齐飞云的出现……这一切都早有预谋！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“这两年来，你陆平处处与我作对，真当我拿你没办法？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,齐飞云一脚踹翻陆平，用脚掌狠狠踩在陆平头上，居高临下讥笑道：
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“大家伙瞧瞧，这陆平和死狗有什么区别？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,大殿内哄笑震耳。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那些被擒的陆家子弟皆悲从心来，怒火中烧。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“有种你就杀了我！敢吗？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆平充血的眼睛怒视齐飞云。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“呵，你以为你们还能活？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,齐飞云漫不经心把玩着手中折扇，冷笑道，“现在你们还有些利用价值，等用完了，我保证亲自送你上路！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,大殿灯火摇曳，混杂着血腥气。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,许多人这才看清楚，齐飞云手中折扇上，赫然写着四个大字：
,,【ps：新书来了！诸君，好久不见，见棺发财！】,与人为善！,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,笔墨淋漓，沾染着陆平的鲜血，显得格外刺眼。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“都这么久了，李拓怎么还不来？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,齐飞云有些不耐，“这一出戏，就差陆灵霜一个了！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊刚要说什么，猛地就看到，大殿外亮起一道炫亮电光，划破厚重的雨幕。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一道挺拔修长的身影穿破雨幕和电光而来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那人右手撑伞，左手拎着一个人，拾阶而上。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,轰！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一道闷雷之音随之滚荡天地间。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,房檐和窗棂震颤作响。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“李拓教习，是你吗？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊大声问。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,大殿外雨幕太大，晦暗一片，那人又撑着一把伞，看不清面容。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“李教习来了？快把陆灵霜带过来！我今天等在这，为的就是要狠狠炮制那小贱人！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,齐飞云背对大殿，头也不回命令。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“不对，他不是李拓！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊猛地睁大眼睛。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,不是李拓？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,齐飞云和大殿所有目光都齐齐看过去。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,与此同时，那一道撑伞而来的挺拔身影已来到大殿外。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,来人玄衣佩刀，身后雨幕重重，电闪雷鸣，衬得他宛如从九幽走出的神魔。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“陆夜，怎么是你？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这一刹，韩山鹊终于看清来人面容，失声叫出来，脸色大变。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜！！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,这个名字如天穹上的惊雷般，让得大殿众人心中一颤，脸色齐齐发生变化。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,震惊、诧异、错愕……各不相同。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,关于陆夜昨天在陆家灵堂上诈尸还魂的消息，早就传遍了天河郡城的大街小巷。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,可谁也没想到，陆夜会出现在这里！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“是陆夜堂哥！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“家主来了！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那些被枷锁捆绑的陆家子弟皆激动起来，在黑暗绝望中看到一线光明。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,站在大殿门口的陆夜，将大殿内的景象尽收眼底。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一股难以抑制的戾气直冲胸口，眸光一下子变得冰冷可怖。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,杀意沸腾！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他缓缓收起手中油纸伞，看着那些陆家子弟，声音温和道：
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“别怕，我来带你们回家。”,4,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“好啊，陆夜这家伙竟然主动送上门了！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,齐飞云大笑，眼神中尽是亢奋。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,若能趁此机会拿下陆夜，绝对大功一件。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“陆夜，你不要命了，竟然敢打伤李拓教习！快把人放了！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,韩山鹊痛心疾首，看到陆夜手中拎着的，赫然是李拓。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“给你。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜手臂发力，把李拓隔空抛给韩山鹊。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,砰！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊刚接住李拓，顿觉一股霸烈刚猛的力量撞在身上，蹬蹬蹬倒退出数步才站稳。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“好霸道的力量！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊心头震惊，他拥有紫府四炼修为，却被陆夜的一抛之力震退，完全出乎意料。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,旋即，韩山鹊脸色顿变，暴喝道：“齐少，小心！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,原来，陆夜在抛出李拓的同时，身影就已经暴冲而出。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,直似一抹黑色闪电划入大殿，刹那就已来到齐飞云身前。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,噗！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜手中那一把油纸伞就像锋利无匹的铁钎，插入齐飞云腹部。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,伞尖透体而过，迸溅出一串滚烫鲜血。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,而陆夜左手早一把攥住齐飞云脖子，如拎小鸡般抓起来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,齐飞云痛不欲生，惊骇欲绝，却连惨叫也发不出，只能发出嗬嗬的粗重喘息，面颊扭曲涨红。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,直至此时，韩山鹊的提醒声，这才在大殿中回荡开。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一切都发生太快。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,当大殿众人反应过来时，齐飞云早已被拿下，脸色都变了。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“陆夜，你未免也太大胆！这里是刑律堂，不是你撒野的地方！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊大喝，神色严厉。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,刑律堂的一众护卫，也都手持荆棘铁鞭，只待韩山鹊一声令下就会出手。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“谁敢动，我就杀了他。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜晃了晃被紧攥脖颈的齐飞云。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,齐飞云腹部被雨伞插穿，呼吸不畅，可此时为了保命，还是大口喘息着嘶声道：“听……听他的……别……乱来！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,众人投鼠忌器，又惊又怒。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜随手扯断捆缚陆平的锁链，“你去把其他人身上的锁链都解开。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“是！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆平站起身，行动起来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,蓦地，一个刑律堂护卫上前，欲擒下一个陆家子弟当人质，却被陆夜拔刀阻断。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,咔嚓！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一抹绯色刀光乍现，护卫身上的甲胄裂开，整个人一分为二，被活生生劈杀当场，鲜血横流。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一位拥有引灵境八重修为的护卫，就此暴毙。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,目睹这霸烈血腥的一刀，不知多少人头皮发麻，心神紧绷。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,整个天河学府皆清楚，三年前的陆夜，就已拥有跨境战斗，镇压紫府三炼的逆天战力。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,可却没人能想到，在昏睡三年后，诈尸还魂的陆夜一身修为非但没有任何衰减，反而比以前更可怕了！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“看来，他们都不把你的性命当回事啊。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜瞥了齐飞云一眼，“若再有第二次，我保证先杀了你。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,齐飞云浑身发寒，气得破口大骂，“谁敢再乱动，老子灭你们全家——！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊和那些护卫神色变幻，再不敢乱来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这时候，陆家子弟身上的锁链都一一被解除，汇聚在陆夜身后。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“陆夜，你可千万别冲动，放了齐少，我保证让你们离开！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊语气诚恳。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“谁说要离开了？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜把齐飞云交给陆平，吩咐道，“接下来，你们守在大门外，谁敢对你们动手，先一刀捅死这家伙。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“好！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆平领命。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊察觉到苗头不对，道：“陆夜，你究竟想做什么？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“有仇不报，可不是我陆家的作风。”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜收起长刀，五指一抓，隔空捡起那一把写着“与人为善”的折扇，拿在了手中。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“你误会了！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊深呼吸一口气，沉声道，“今日针对陆家子弟的事情，乃是首席长老下旨，绝不是我刑律堂故意针对。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜摩挲着手中折扇，轻声道：“待会我自会去见薛白松，问一个明白，至于现在……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他抬眼一扫韩山鹊和那些护卫，语气不疾不徐，“我得先替陆家子弟出一口恶气！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一番话，回荡大殿，气氛骤然压抑下去。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,所有人差点怀疑听错。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,这可是天河学府的刑律堂，谁敢妄言在此大打出手？,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,韩山鹊叹道，“陆夜，你若真这么做，今天注定走不出天河学府！何必呢？”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“那就走着瞧。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜笑了。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,轰！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,大殿外，炫亮的银色闪电狂舞，雷霆轰震，雨势更大了，淹没大殿内的一切杂音。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜蓦地纵身而出。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,在他挺拔身影上，有可怖的气机轰鸣声响彻，那是由混洞九锻经运转的真元之力。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,砰！！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,距离陆夜最近的一个刑律堂护卫，都还没来得及反应，身躯就被折扇砸中，一身玄甲爆碎四溅，整个人倒飞出去，血肉模糊，暴毙当场。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“这家伙绝对疯了！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊眼瞳收缩，完全没想到，陆夜竟然真的敢在天河学府的刑律堂杀人。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“快，一起出手！拿下他！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊大喝。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“杀！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那些刑律堂护卫手握荆棘铁鞭，悍然出击。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆平等人呼吸一窒，心都悬起来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那些刑律堂护卫，足有三十余人，最弱的都拥有引灵境第七重修为。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,而那位护卫首领更是早已踏足紫府境，是真正的修者，拥有紫府三炼道行。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,更遑论，还有韩山鹊这位紫府四炼的执事在！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,敌众我寡，陆夜拿什么斗？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,果然，仅仅眨眼间的功夫，陆夜就被重重围困！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,可很快，陆平他们就瞪大眼睛。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,就见陆夜手握折扇，明明被重重包围，他却长驱直入，势如破竹！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,砰！砰！砰！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,一道又一道身影横飞出去。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,有的被踹飞，骨骼和脏腑破损。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,有的头破血流，躯体砸在墙壁上，惨叫震天。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,仅仅一把玄铁锻造的折扇而已，握在陆夜手中却似一把万钧巨锤，势大力沉，无坚不摧。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,不到三个弹指，便有十余人已被重创，倒地不起。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,再看陆夜，俨然呈现碾压的态势，轻松击溃对手。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,如入无人之境！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“杀！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那紫府二炼修为的护卫首领一声暴喝，挥动一杆银色短戟暴杀而来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,短戟之上，两道紫色神虹流转神辉，显化为一头张牙舞爪的恶蛟，伴着这一击朝陆夜扑杀！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那等威能，将附近众人的气势都比下去，也远不是引灵境层次的武者可比。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜眉目如刀锋，冷冽幽邃，蓦地抬手一抓。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,砰！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,张牙舞爪的恶蛟被抓住头颅，爆碎成光雨碎屑飞洒。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,连同那击杀而来的银色短戟，都被牢牢抓住，无法寸进！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“不好！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,护卫首领脸色顿变，正欲变招。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜手中的折扇已破空而至。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,猛地一戳。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,护卫首领如遭雷击，一身气机崩溃瓦解，整个人轰然倒地，心脉爆碎，当场毙命。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,而陆夜，早已杀向其他人。,10,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,轰隆！,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,大殿外狂风暴雨，闪电划破黑暗雨幕，洒下惨白刺眼的电光。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,雷霆轰鸣声像密集的战鼓擂动，仿佛在为大殿内的厮杀助兴，惊心动魄。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,大殿内惨叫声此起彼伏，血腥弥漫，已经有二十余人倒地不起。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那一幕幕惨烈血腥的画面，也愈发衬得陆夜不凡。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“陆夜哥好强！！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆平等人早已退守大殿外。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,当目睹陆夜的风采时，皆心潮澎湃，震撼不已。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“你别过来啊——！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,仅剩下的一些护卫被吓坏了，退缩到大殿角落，面带惊恐，写满无助。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜向来不喜虐菜，可现在为了出口恶气，并未手下留情。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,很快，连那仅剩下的护卫都被击溃倒地，下场凄惨。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,偌大的刑律堂大殿内，只剩下韩山鹊一人还站着。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“别人在拼命，你却只看着，也忒不厚道。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜看向韩山鹊。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“我不是你的对手。”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊神色阴晴不定，摇头道，“也不想自讨苦吃。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,眼下发生的一切，无不在印证一件事——
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,昏睡三年诈尸还魂的陆夜，并没有跌落深渊。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,他，依旧是那个曾在大乾天下独领风骚的武道状元郎。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,若说改变，那就是比以前更可怕了！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“你以为低头，我就会放过你？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜笑了，迈步朝韩山鹊走去。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,在他手中，折扇早已被那些对手的鲜血浸透，血渍浓稠，有一颗颗血珠从扇面滴落在地。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊眼皮狠狠跳了跳，苦笑道：“陆夜，咱们为何不能先聊一聊？难道……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,声音戛然而止，陆夜手中折扇如棍，狠狠砸出去。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,砰！！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,饶是韩山鹊早有戒备，可一身护体力量依旧被砸破，整个人跌坐在地，额头骨裂，血肉模糊。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“以我紫府四炼的修为，竟都没挡住这一击？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊满脸是血，难以置信。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,眼见陆夜又要出手，韩山鹊悚然大叫，“今天的事情，真的和我无关，我只是奉命……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,砰！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜又一击砸在韩山鹊头上，砸得对方身影趔趄，瘫在地上，浑身都因剧痛抽搐。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这一刻，韩山鹊彻底怕了。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,无视威胁，又不顾忌任何后果，这样的对手，一旦发狠，绝对什么事情都能干出来！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“陆夜，你等下！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,韩山鹊再顾不得其他，哀嚎大叫，“我是你姐夫啊！我和你堂姐成婚时，你还喝过我们的喜酒……”,3,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“那就更该打了！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜手中扬起的折扇蓦地砸落。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,砰！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊闪避，还是被砸中，身上骨骼不知断裂多少根，整个人瘫在地上，奄奄一息。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,折扇如棍，三棍打散亲戚情！,6,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,至此，血腥弥漫的大殿之内，死的死，伤的伤，再没一个立着的对手，痛苦呻吟声此起彼伏。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜犹不解气，让陆平把齐飞云带了过来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“陆夜你想做什么？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,齐飞云疯狂挣扎，却被陆夜牢牢攥住脖子，憋得酱紫的脸颊上，写满恐惧。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“别怕，我只是想拿回我的伞。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜抓住捅破齐飞云腹部的油纸伞柄，猛地抽出来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,哗啦！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,血流如瀑，齐飞云发出惊恐惨叫，身躯一个抽搐，昏死过去，被陆夜随手扔在地上。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,任谁都看出，若不及时救治，齐飞云注定会死。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,但，无人理会。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“一刻钟内，我要知道今日事情的原委。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜看了韩山鹊一眼。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,啪！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他把手中折扇扔掉。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,扇面在地上铺开。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“与人为善”四个漆黑大字，早已被浸染成刺目的鲜红血色。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,……
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,……
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“昨天你活过来的消息传开后，引起了天河郡城各大势力震动。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“而今天清晨，在府主大人召集下，学府的一众长老和执事齐聚松澜阁。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“没多久，我就接到首席长老的命令，让我率领刑律堂护卫，把在学府中修行的所有陆家子弟拿下，先剥夺学籍，再驱逐出学府。”
